campaign_cycle_index,batch_index,carton_index,cell_cycle_duration_sim_s,robot_cycle_duration_sim_s,planned_motion_s,q2_q3_max_error_deg,placement_xy_error_m,placement_z_error_m,placement_yaw_error_deg,tracking_error_max_rad,saturation_global_max_contiguous_s,indexer_direct_state_age_wall_s,status,batch_reset_before_cycle
77,7,5,10.736999999999995,10.736999999999995,9.49,0.5999551678220882,0.013156323590967125,0.004157022391895082,0.2519721844124362,0.015384516999859432,0.01,,PASS,False
78,7,6,10.75200000000001,10.75200000000001,9.489999999999998,0.5756417660729909,0.014252418561671197,0.004173469148395337,0.9718590902690569,0.014951067947038377,0.01,0.0033096669994847616,PASS,False
79,7,7,10.822999999999993,10.822999999999993,9.489999999999998,0.5563465062755597,0.013838020886892852,0.00503097004662556,0.2047119374369358,0.019865273469555023,0.01,,PASS,False
80,7,8,10.793000000000006,10.646000000000015,9.489999999999998,0.5431259054602151,0.012540528919065576,0.005020920757450309,0.4745942319125726,0.014274631539694438,0.01,0.0006781669999327278,PASS,False
81,7,9,11.450999999999993,11.450999999999993,10.21,0.5358401681803997,0.0032933765543786335,0.0033755164501676482,0.3232002086549634,0.011811873620577895,0.01,,PASS,False
82,7,10,11.164000000000001,11.164000000000001,10.21,0.5384558362592315,0.0017119398062011746,0.0049920142026504966,0.25005102993085104,0.009134178707858043,0.01,0.003026916000635538,PASS,False
83,7,11,11.171999999999997,11.171999999999997,10.21,0.5408699675768105,0.0038952269945806903,0.003949175842895558,0.08181860527758851,0.01203024287883081,0.01,,PASS,False
84,7,12,10.27600000000001,10.27600000000001,9.64,0.5406101087134942,0.002196647530232966,0.003697877846487563,0.12318027341902434,0.01160220019115954,0.01,,PASS,False
85,8,1,9.847000000000001,9.847000000000001,8.488422133345932,0.8011165718001507,0.002821579881484376,0.004257404818184818,0.24362439974601433,0.034817998016814844,0.0,,PASS,True
86,8,2,9.791,9.791,8.399919145446297,0.7151939310777209,0.0010529003255474968,0.004163806075939469,0.19856950307069512,0.022285106286844103,0.0,0.0004150830000071437,PASS,False
87,8,3,9.942,9.942,8.48704724939611,0.6589490666533777,0.005885696511904566,0.005026710273569157,0.46917621328768083,0.025858796413847918,0.0,,PASS,False
88,8,4,10.188000000000002,9.763000000000005,8.399083499102474,0.6188771605955168,0.00660136145638572,0.0039416980158150094,0.22767336941045696,0.020301039206473304,0.0,0.0004646659999707481,PASS,False
89,8,5,10.798000000000002,10.798000000000002,9.489999999999998,0.604246027025809,0.013866089878404543,0.004999819032674879,0.3016815623149306,0.019883002925362048,0.0,,PASS,False
90,8,6,10.827999999999996,10.827999999999996,9.489999999999998,0.575369200056258,0.01449205457578299,0.003899234718472311,0.9749765559056579,0.01483519815170542,0.0,0.0037317079995773383,PASS,False
91,8,7,10.631,10.631,9.489999999999998,0.5611965485917523,0.012638818722775528,0.005045694314871563,0.07758087459878206,0.013743664538598432,0.0,,PASS,False
92,8,8,10.713000000000008,10.582999999999998,9.49,0.5425588896314224,0.01254595042871934,0.005022124438750386,0.47497505855807665,0.01458744301740622,0.0,0.0026168750000579166,PASS,False
93,8,9,11.254999999999995,11.254999999999995,10.21,0.53625942279578,0.004088834125102517,0.005074776421470473,0.18148426770633405,0.011812307833594105,0.0,,PASS,False
94,8,10,11.171999999999997,11.171999999999997,10.21,0.5376823447251411,0.002560752394529832,0.0036288402113857643,0.1949531906241776,0.010450413827318705,0.0,0.00051050000001851,PASS,False
95,8,11,11.070999999999998,11.070999999999998,10.21,0.5402190151213659,0.004153356827395387,0.004628498587208707,0.08926595559103297,0.014685013948461556,0.0,,PASS,False
96,8,12,10.253000000000014,10.253000000000014,9.64,0.5398497804334994,0.002267754039556969,0.003679359087660261,0.12136766962711772,0.011017497669008947,0.0,,PASS,False
97,9,1,9.834999999999999,9.834999999999999,8.488388323086852,0.8007783429002444,0.0028408008816038248,0.004255953376538835,0.23432231417655344,0.023836407483107003,0.0,,PASS,True
98,9,2,9.758000000000003,9.758000000000003,8.39993670400711,0.7185469028217568,0.0011135149263122163,0.004318280875984293,0.20110004877443452,0.024980715488421956,0.0,0.00047566699959133985,PASS,False
99,9,3,9.837999999999997,9.837999999999997,8.487105192085487,0.6636655597753958,0.005945483487886426,0.004056670539423934,0.4486874929936455,0.020029672754388494,0.0,,PASS,False
100,9,4,10.088000000000001,9.701999999999998,8.39906683865188,0.618625915202685,0.006823842839028673,0.004135196763021209,0.23191884673236512,0.016671725643093938,0.0,0.0305651670005318,PASS,False
101,9,5,10.82,10.82,9.489999999999998,0.6020079701906127,0.013000424888196289,0.004239923546146218,0.26436404476924025,0.015613290604755137,0.01,,PASS,False
102,9,6,10.901000000000003,10.901000000000003,9.489999999999998,0.5792916860634989,0.014042607178959035,0.004922724267171663,0.974790617000357,0.01441172530153878,0.01,0.0004482499998630374,PASS,False
103,9,7,10.783000000000001,10.783000000000001,9.489999999999998,0.5557434407603097,0.013671040913598182,0.004160319740918905,0.20166062077487773,0.022718649214145792,0.01,,PASS,False
104,9,8,10.763000000000005,10.61,9.489999999999998,0.5419499829278607,0.012638822038974103,0.005026627564036601,0.482349356854015,0.014741801956128286,0.01,0.004133874999752152,PASS,False
105,9,9,11.308999999999997,11.308999999999997,10.21,0.5388306349776286,0.0037221969123160674,0.0034458597620004028,0.16761651666182878,0.015739752269928853,0.01,,PASS,False
106,9,10,11.171999999999997,11.171999999999997,10.21,0.5384083734206655,0.002235746091799491,0.0037517606212205123,0.21381902002215594,0.011948481337282768,0.01,0.000503334000313771,PASS,False
107,9,11,11.039000000000001,11.039000000000001,10.21,0.5403467426148723,0.003916733504349321,0.0035736270607240606,0.08133515081869572,0.009777172004331702,0.01,,PASS,False
108,9,12,10.296999999999997,10.296999999999997,9.639999999999999,0.5378825177184723,0.0020091677002992887,0.003666832634284134,0.1551655835168625,0.010458199583082806,0.01,,PASS,False
